Array Size,Key Comparisons,CPU Time
100.0,4950.0,0.8789740002157487
200.0,19900.0,3.425097999979698
300.0,44850.0,10.646400000041467
400.0,79800.0,15.751853999972809
500.0,124750.0,24.17223800011925
600.0,179700.0,32.764756000005946
700.0,244650.0,44.34954000021207
800.0,319600.0,58.639094000000114
900.0,404550.0,74.1300700001375
1000.0,499500.0,93.9032109999971
1100.0,604450.0,114.47290399996746
1200.0,719400.0,133.72777199992925
1300.0,844350.0,157.96750300000895
1400.0,979300.0,182.8014699999585
1500.0,1124250.0,210.16536000001906
1600.0,1279200.0,266.95568299987826
1700.0,1444150.0,270.45520299998316
1800.0,1619100.0,303.26757600005294
1900.0,1804050.0,342.6073189998533
2000.0,1999000.0,376.15603399990505
2100.0,2203950.0,423.0176720000145
2200.0,2418900.0,461.11788300004264
2300.0,2643850.0,500.98511499982123
2400.0,2878800.0,544.4262639998669
2500.0,3123750.0,596.4308640000127
2600.0,3378700.0,641.6948200001116
2700.0,3643650.0,692.1620699999949
2800.0,3918600.0,758.4874030001174
2900.0,4203550.0,800.1539729998512
3000.0,4498500.0,853.3300120000149
3100.0,4803450.0,919.9218349999683
3200.0,5118400.0,972.4025430000438
3300.0,5443350.0,1050.6703560001824
3400.0,5778300.0,1110.3643589999592
3500.0,6123250.0,1166.0165870000583
3600.0,6478200.0,1231.5024649999486
3700.0,6843150.0,1316.918287000135
3800.0,7218100.0,1374.650370000154
3900.0,7603050.0,1453.051670999912
4000.0,7998000.0,1542.5342179999006
4100.0,8402950.0,1642.738842999961
4200.0,8817900.0,1687.0750319999388
4300.0,9242850.0,1780.4723199999444
4400.0,9677800.0,1849.815418999924
4500.0,10122750.0,1948.2190319999972
4600.0,10577700.0,2043.8408170000457
4700.0,11042650.0,2132.638512000085
4800.0,11517600.0,2209.7142000000076
4900.0,12002550.0,2336.2661810001555
5000.0,12497500.0,2401.0587529999157
5100.0,13002450.0,2541.939536999962
5200.0,13517400.0,2619.3278660000487
5300.0,14042350.0,2686.672647000023
5400.0,14577300.0,2822.8357410000626
5500.0,15122250.0,2954.162641000039
5600.0,15677200.0,3009.3569309999566
5700.0,16242150.0,3115.3171019998354
5800.0,16817100.0,3270.693435999874
5900.0,17402050.0,3352.722700999948
6000.0,17997000.0,3483.914152999887
6100.0,18601950.0,3620.9171020000213
6200.0,19216900.0,3690.110752999999
6300.0,19841850.0,3826.8947049998587
6400.0,20476800.0,3987.878778000095
6500.0,21121750.0,4076.5891789999387
6600.0,21776700.0,4205.460180999808
6700.0,22441650.0,4351.000264000049
6800.0,23116600.0,5244.880064999961
6900.0,23801550.0,4617.9627020001135
7000.0,24496500.0,4780.406323999841
7100.0,25201450.0,4872.017868999592
7200.0,25916400.0,4980.6030550003015
7300.0,26641350.0,5205.506163999871
7400.0,27376300.0,5282.484326000031
7500.0,28121250.0,5426.650700000209
7600.0,28876200.0,5616.614698999911
7700.0,29641150.0,5714.386162999745
7800.0,30416100.0,5873.963210000056
7900.0,31201050.0,6105.533720999574
8000.0,31996000.0,6182.9610069999035
8100.0,32800950.0,6331.906946999879
8200.0,33615900.0,6572.199487000034
8300.0,34440850.0,6656.256684000255
8400.0,35275800.0,6785.048879999977
8500.0,36120750.0,7060.112130000107
8600.0,36975700.0,7149.294393999753
8700.0,37840650.0,7322.1826429999055
8800.0,38715600.0,7583.602421000251
8900.0,39600550.0,7734.2308490001415
9000.0,40495500.0,7832.344960000228
9100.0,41400450.0,8052.633818000231
9200.0,42315400.0,8188.987443999849
9300.0,43240350.0,8420.843366999634
9400.0,44175300.0,8620.84917700031
9500.0,45120250.0,8713.738529999773
9600.0,46075200.0,8935.682166999868
9700.0,47040150.0,9173.294826999609
9800.0,48015100.0,9285.54159999976
9900.0,49000050.0,9471.068507999917
10000.0,49995000.0,9745.170913000038
